Browser,Target Path,Source URL,Start Time,End Time,Total Bytes,MIME Type,State
Chrome/Edge,C:\Users\nayak\Downloads\Summer-Fellowship-Bonafide- UG.docx,https://ssp.iitm.ac.in/summer-fellowship-registration,2026-02-06 17:30:40.274843,2026-02-06 17:30:42.519665,12800,application/vnd.openxmlformats-officedocument.wordprocessingml.document,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Bonafide Certificate  for Internship at NFSU Dharwad.pdf,https://drive.usercontent.google.com/u/0/uc?id=1gOB6xhKRjXaHf3FrSUg49lqCF4CRJk32&export=download,2026-01-30 01:57:40.647928,2026-01-30 01:57:41.161665,188031,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\BSides_University_Proposal.docx,https://chatgpt.com/c/69614532-40cc-8322-a705-e910d8e6ed98,2026-01-09 18:49:34.681726,2026-01-09 18:49:35.963347,38683,application/vnd.openxmlformats-officedocument.wordprocessingml.document,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Cyber-Security-Workshop.pdf,https://www.giet.edu/wp-content/uploads/2024/09/Cyber-Security-Workshop.pdf,2026-01-09 18:29:59.427622,2026-01-09 18:30:03.601086,1841419,application/pdf,InProgress
Chrome/Edge,"C:\Users\nayak\Downloads\71jyL-QBrmL._AC_UF1000,1000_QL80_.jpg",https://www.google.com/search?q=NIC&sca_esv=11e50d49d5e228fb&udm=2&biw=1536&bih=776&aic=0&ei=LoRgaZarOdO6seMP8KPSqAI&ved=0ahUKEwiW-tTHz_2RAxVTXWwGHfCRFCUQ4dUDCBI&uact=5&oq=NIC&gs_lp=Egtnd3Mtd2l6LWltZyIDTklDMhAQABiABBiKBRhDGLEDGIMBMggQABiABBixAzIIEAAYgAQYsQMyCxAAGIAEGLEDGIMBMgsQABiABBixAxiDATIIEAAYgAQYsQMyDhAAGIAEGIoFGLEDGIMBMggQABiABBixAzIIEAAYgAQYsQMyCBAAGIAEGLEDSNsPUNYGWNUKcAN4AJABAJgB2wGgAYgEqgEFMC4yLjG4AQPIAQD4AQGYAgagArIEwgIGEAAYBxgewgIKEAAYgAQYigUYQ5gDAIgGAZIHBTMuMi4xoAeQDbIHBTAuMi4xuAecBMIHAzItNsgHIYAIAQ&sclient=gws-wiz-img#sv=CAMSVhoyKhBlLWtYcHo0Mk84UzVUTHNNMg5rWHB6NDJPOFM1VExzTToOUWtJcW1tRENXb0ZUbU0gBCocCgZtb3NhaWMSEGUta1hwejQyTzhTNVRMc00YADABGAcgqMyn_QYwAkoKCAIQAhgCIAIoAg,2026-01-09 04:34:10.216109,2026-01-09 04:34:14.178133,68549,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\DUBH7F1Image LSideRightBlack.png,https://www.dlink.com/uk/en/products/dub-h7-7-port-usb-2-0-hub,2026-01-09 04:30:41.468972,2026-01-09 04:30:45.228935,357760,image/png,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\13134f15ca374e51b46f528160d01a3e.jpg,https://resources.l-p.com/glossary/what-is-nic-network-interface-card,2026-01-09 04:25:56.768613,2026-01-09 04:26:08.759674,118394,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Firewall.jpg,https://gkaccess.com/wp-content/uploads/2025/05/Firewall.jpg,2026-01-09 04:25:24.189619,2026-01-09 04:25:26.887301,25111,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\8-port-gsm-gateway-device-1000x1000.jpg,https://www.indiamart.com/proddetail/8-port-gsm-gateway-device-20437292748.html?srsltid=AfmBOorPzfGRw4HX_zWlq6SoRdcHKmzTnasfhHqIkC7xJ0UOx6qnsstJ,2026-01-09 04:25:14.868765,2026-01-09 04:25:17.125072,59138,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\d-link-n300-wireless-access-point-with-asdl2-ethernet-wan-1000x1000.jpg,https://www.indiamart.com/proddetail/d-link-n300-wireless-access-point-with-asdl2-ethernet-wan-22625981048.html?srsltid=AfmBOopQk02ZQWWJE4cn-xMYEZP-ibGvli6yMl4nc6MPr1Uhzm-yovSm,2026-01-09 04:20:45.588629,2026-01-09 04:20:47.658694,12112,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\fast-ethernet-repeater-1000x1000.jpg,https://www.indiamart.com/proddetail/fast-ethernet-repeater-7323023891.html?srsltid=AfmBOoq2sYJ6V7sYUaY2_CNzXdtunQFaAZrTVBnEvBq5kctOeyKGA85S,2026-01-09 04:19:59.137038,2026-01-09 04:20:01.137111,34778,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\wireless-network-modem-1000x1000.jpg,https://www.indiamart.com/proddetail/wireless-network-modem-20602375933.html?srsltid=AfmBOor320wbz4QGVr4m-V_yUr7ejXPmcJJbtOyVAUg0yJzq50Kqwtdn,2026-01-09 04:19:27.748008,2026-01-09 04:19:30.172538,14778,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\accf6024010f00d63cd09fb8dfaa0fc7b8a6c5fa.jpeg,https://discussion.scottibyte.com/t/what-is-a-bridge/193,2026-01-09 04:17:21.428578,2026-01-09 04:17:24.553429,90892,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\TL-WR940N_un_V1_280_68_large_2.00_20150213133749.jpg,https://static.tp-link.com/res/images/products/TL-WR940N_un_V1_280_68_large_2.00_20150213133749.jpg,2026-01-09 04:15:46.264998,2026-01-09 04:15:48.358732,112620,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\cisco_switch.jpg,https://study-ccna.com/wp-content/uploads/2016/01/cisco_switch.jpg,2026-01-09 04:14:26.478457,2026-01-09 04:14:29.599255,19557,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\b-20.jpg,https://www.google.com/search?sca_esv=11e50d49d5e228fb&udm=2&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3vWUtYx0DZdicpfE1faGYemg2KC4yuMPyQlIvlWqq2At2yMvCZgi_bwXXU0sv2NZz-tCgYlxSPaGehZCZpfMnU52f07FivVkoVuKjAiOZnoDH7-b3NEYW84RQeTfiKGGvc17h44AF_q_EO92No7l3ErSHvOFsqp8n9L5WaetBdzgacck2g&q=hub&sa=X&ved=2ahUKEwjokqzdy_2RAxWRSmwGHaOmGfsQtKgLegQIFRAB&biw=1536&bih=776&dpr=1.25&aic=0#sv=CAMSVhoyKhBlLThNLUc0UWE2bDF2bXpNMg44TS1HNFFhNmwxdm16TToOeWVZUy1kVng1aDNwY00gBCocCgZtb3NhaWMSEGUtOE0tRzRRYTZsMXZtek0YADABGAcggdDrigIwAkoKCAIQAhgCIAIoAg,2026-01-09 04:13:23.440614,2026-01-09 04:13:34.836146,30534,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\b-20.webp,https://www.google.com/search?sca_esv=11e50d49d5e228fb&udm=2&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3vWUtYx0DZdicpfE1faGYemg2KC4yuMPyQlIvlWqq2At2yMvCZgi_bwXXU0sv2NZz-tCgYlxSPaGehZCZpfMnU52f07FivVkoVuKjAiOZnoDH7-b3NEYW84RQeTfiKGGvc17h44AF_q_EO92No7l3ErSHvOFsqp8n9L5WaetBdzgacck2g&q=hub&sa=X&ved=2ahUKEwjokqzdy_2RAxWRSmwGHaOmGfsQtKgLegQIFRAB&biw=1536&bih=776&dpr=1.25&aic=0#sv=CAMSVhoyKhBlLThNLUc0UWE2bDF2bXpNMg44TS1HNFFhNmwxdm16TToOeWVZUy1kVng1aDNwY00gBCocCgZtb3NhaWMSEGUtOE0tRzRRYTZsMXZtek0YADABGAcggdDrigIwAkoKCAIQAhgCIAIoAg,2026-01-09 04:13:06.184183,2026-01-09 04:13:10.389366,30534,image/webp,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Module 01 Introduction to Digital Forensic (1).pdf,https://drive.google.com/drive/folders/1FKdU792k8ZMzddnHKZsB4XC8bHaTt7_8,2026-01-03 09:40:08.229244,2026-01-03 09:40:09.228657,634488,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\EAadhaar_2906239390012120241216164233_31122025192827.pdf,https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en,2025-12-31 13:58:27.749783,2025-12-31 13:58:28.130227,1391982,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Shradha Suman Nayak.jpg,https://block.dsci.in/v2/doc?id=b48dd8ed9a5a961f1dba64012392b5982d8ae9a3f1d62bf04e83666b6d1a31a6,2025-12-25 13:34:06.845571,2025-12-25 13:34:09.759782,1371725,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Module 01 Introduction to Digital Forensic.pdf,https://drive.usercontent.google.com/u/0/uc?id=1yr4jWewaWmj_aaTD1aj3lnSJITWfzXOL&export=download,2025-12-15 17:53:27.112174,2025-12-15 17:53:28.115172,634488,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Network-Intrusion-Detection-Project-main.zip,https://github.com/Vatshayan/Network-Intrusion-Detection-Project,2025-12-12 09:46:59.408987,2025-12-12 09:47:01.660558,370287,application/x-zip-compressed,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\UML-Diagram-for-an-Example-Authenticated-Encryption-and-Decryption.jpg,https://www.researchgate.net/profile/Tony-Karavasilev/publication/339390208/figure/fig3/AS:860757239537665@1582231926564/UML-Diagram-for-an-Example-Authenticated-Encryption-and-Decryption.ppm,2025-12-09 18:46:51.693912,2025-12-09 18:47:08.234023,22350,image/jpeg,InProgress
Chrome/Edge,,https://www.researchgate.net/profile/Tony-Karavasilev/publication/339390208/figure/fig3/AS:860757239537665@1582231926564/UML-Diagram-for-an-Example-Authenticated-Encryption-and-Decryption.ppm,2025-12-09 18:46:35.324441,,22350,image/png,Cancelled
Chrome/Edge,C:\Users\nayak\Downloads\UML-Diagram-for-an-Example-Authenticated-Encryption-and-Decryption.ppm,https://www.researchgate.net/profile/Tony-Karavasilev/publication/339390208/figure/fig3/AS:860757239537665@1582231926564/UML-Diagram-for-an-Example-Authenticated-Encryption-and-Decryption.ppm,2025-12-09 18:44:10.376141,2025-12-09 18:44:15.580843,22350,image/png,InProgress
Chrome/Edge,,https://www.researchgate.net/publication/344279271/figure/fig2/AS:11431281391528035@1745333582669/Flow-chart-for-image-encryption-and-decryption.tif,2025-12-09 18:19:43.973996,,308700,image/png,Cancelled
Chrome/Edge,C:\Users\nayak\Downloads\6a1aaada-3e1e-4125-9106-c016ff6dfe08.png,https://chatgpt.com/backend-api/estuary/content?id=file_0000000051ec72089f8a6793d883b47a&ts=490057&p=fs&cid=1&sig=64ff707685186a2ecc47a902408366c699b83d22e613374eaae4f1b98f2c156c&v=0,2025-11-27 01:33:48.589626,2025-11-27 01:33:48.906587,384164,image/png,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\CheatSheet & Guides -20251124T163836Z-1-001.zip,https://drive.google.com/drive/folders/1QP-OeqbphKUws_3FFCwAeS2I6sscUj0i,2025-11-24 16:39:01.197441,2025-11-24 16:42:18.034805,134842757,application/x-zip-compressed,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\3dc07467-ab89-46f3-8a7e-d0728b1403f9 (2).docx,https://chatgpt.com/c/6923e8b6-f038-8322-b09a-54d366073ee5,2025-11-24 13:38:51.459625,2025-11-24 13:38:54.519252,5030263,application/vnd.openxmlformats-officedocument.wordprocessingml.document,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\3dc07467-ab89-46f3-8a7e-d0728b1403f9 (1).docx,https://chatgpt.com/backend-api/estuary/content?id=file_00000000e93072079c6fe635db00626f&ts=489997&p=fs&cid=1&sig=f510611d640ea43d4331ae7ba9931c1274ef5cc3ad3ea8b139611b03955ac3fc&v=0,2025-11-24 13:38:47.029887,2025-11-24 13:38:51.789767,5030263,application/vnd.openxmlformats-officedocument.wordprocessingml.document,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\3dc07467-ab89-46f3-8a7e-d0728b1403f9.docx,https://chatgpt.com/c/6923e8b6-f038-8322-b09a-54d366073ee5,2025-11-24 07:15:50.478313,2025-11-24 07:15:55.670236,5030263,application/vnd.openxmlformats-officedocument.wordprocessingml.document,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\wmremove-transformed (2).png,https://www.watermarkremover.io/upload,2025-11-22 15:23:54.479798,2025-11-22 15:23:54.689605,917580,image/png,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\post.png,https://www.imprzd.com/impressions-web/#/consumer-flow/P/VTExMTM4Nzk,2025-11-21 04:50:51.082353,2025-11-21 04:50:51.394884,171012,image/png,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Ethical Hacking.pdf,https://internalapp.nptel.ac.in/B2C/exam_form/candidate_login/candidate_scores.php?courseid=noc25-cs142,2025-11-20 03:37:16.848817,2025-11-20 03:37:18.148367,1276597,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\pexels-aleksey-kuprikov-1883853-11007961.jpg,https://www.pexels.com/photo/jeeps-in-a-row-with-lights-on-and-mountain-landscape-in-mist-11007961/,2025-11-18 09:50:29.211106,2025-11-18 09:50:29.747273,1997698,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\pexels-aaronmcurtis-119435.jpg,https://www.pexels.com/photo/white-jeep-cherokee-suv-near-stacked-brown-pallet-boards-119435/,2025-11-18 09:04:11.814437,2025-11-18 09:04:12.606070,1561303,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\istockphoto-1337635756-1024x1024.jpg,https://www.istockphoto.com/photo/high-angle-shot-of-cars-travelling-on-a-road-through-a-mountainous-area-gm1337635756-418456181,2025-11-18 08:54:47.611480,2025-11-18 08:54:47.878540,125863,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Captain America Wallpaper.jpeg,https://in.pinterest.com/pin/84161086783564371/,2025-11-10 16:54:34.034727,2025-11-10 16:54:34.255030,151602,image/jpeg,InProgress
Chrome/Edge,"C:\Users\nayak\Downloads\ChatGPT Image Nov 2, 2025, 11_46_45 PM.png",https://chatgpt.com/c/69079cc2-0f68-8322-a2c0-7d2f5111de8d,2025-11-02 18:16:46.208521,2025-11-02 18:16:46.518687,1795908,image/png,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\NOC25CS142S1057200225.pdf,https://internalapp.nptel.ac.in/B2C/exam_form/index.php,2025-10-31 07:57:11.880429,2025-10-31 07:57:13.119721,394511,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Unit_IV_V_Soft_Computing_Notes.pdf,https://chatgpt.com/c/6902d341-7d24-8322-b100-3622d82fd054,2025-10-30 02:59:52.450312,2025-10-30 02:59:52.779977,7686,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Canva Setup 1.117.1.exe,https://www.canva.com/download/windows/,2025-10-26 04:25:08.120097,2025-10-26 04:25:49.355029,182136296,application/x-msdownload,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\DSC09392.JPG,https://drive.google.com/drive/folders/13QSzeU2rcBb0XIr7-MQq5FDU_pINvsiS,2025-10-25 16:35:32.267401,2025-10-25 16:35:36.973436,9136534,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\DSC09460.JPG,https://drive.google.com/drive/folders/13QSzeU2rcBb0XIr7-MQq5FDU_pINvsiS,2025-10-25 15:56:31.253857,2025-10-25 15:56:33.243808,8382353,image/jpeg,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\npcap-1.83.exe,https://npcap.com/#download,2025-09-27 17:40:48.135033,2025-09-27 17:40:53.103092,1250856,application/x-msdownload,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Dont-Believe-Everything-You-Think.pdf,https://pdfdrive.com.co/wp-content/pdfh/Dont-Believe-Everything-You-Think.pdf,2025-09-23 17:18:06.193353,2025-09-23 17:18:12.220360,496224,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\sop.pdf,https://drive.usercontent.google.com/u/0/uc?id=12Tgki73NThMC4K8ss44yP7udmbRveBc7&export=download,2025-09-22 13:56:50.109343,2025-09-22 13:56:59.063347,7495633,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Students-t-table-one-tailed-two-tailed.pdf,https://www.scribbr.com/statistics/students-t-table/,2025-09-19 11:16:20.806907,2025-09-19 11:16:21.117391,682556,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Ztable.pdf,https://qcenter.uconn.edu/wp-content/uploads/sites/764/2018/05/Standard-Normal-Ztable.pdf,2025-09-19 10:56:45.817323,2025-09-19 10:56:55.304695,60388,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\VMware-workstation-full-17.5.2-23775571 (1).exe,https://drive.google.com/drive/folders/1gyMsuH0oyrHoU2F3zG7UqaQKSd_Hw_IE,2025-09-15 02:00:15.643652,2025-09-15 02:05:38.445324,648295400,application/x-msdownload,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\SIH2025_IDEA_Presentation_Format Final.pptx,https://drive.google.com/drive/home,2025-09-08 14:38:16.999769,2025-09-08 14:38:19.274801,1157442,application/vnd.openxmlformats-officedocument.presentationml.presentation,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\indices_train_test.mat,https://drive.google.com/drive/folders/0B7EVK8r0v71pQ3NzdzRhVUhSams?resourcekey=0-Kpdd6Vctf-AdJYfS55VULA,2025-09-08 14:34:47.346494,2025-09-08 14:34:49.123547,65227,application/octet-stream,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\SIH2025-IDEA-Presentation-Format.pptx,https://www.sih.gov.in/letters/SIH2025-IDEA-Presentation-Format.pptx,2025-09-08 10:15:26.199677,2025-09-08 10:15:27.618262,271789,application/vnd.openxmlformats-officedocument.presentationml.presentation,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\caine14.0.iso,https://www.caine-live.net/page5/page5.html,2025-09-02 10:55:06.931331,2025-09-02 12:23:53.003308,4169138176,application/x-iso9660-image,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Digital Forensics Tools HD.png,https://github.com/Ignitetechnologies/Mindmap/blob/main/Forensics/Digital%20Forensics%20Tools%20HD.png,2025-08-26 12:42:02.084165,2025-08-26 12:42:02.304697,8041981,image/png,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\mysql-workbench-community-8.0.43-winx64.msi,https://dev.mysql.com/downloads/file/?id=544368,2025-08-25 17:07:23.510460,2025-08-25 17:07:31.259231,45105152,application/octet-stream,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\VolatilityWorkbench.zip,https://www.osforensics.com/tools/volatility-workbench.html,2025-08-12 16:38:41.657663,2025-08-12 16:39:09.007949,17151871,application/x-zip-compressed,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\DNS-record-type-BlueCat-screenshot.jpg,https://bluecatnetworks.com/blog/know-the-eight-most-common-dns-records/,2025-07-28 16:08:53.122782,2025-07-28 16:09:07.567408,33956,image/jpeg,InProgress
